job_name,unused_dir,#static_plugin,#total_plugin
Algorithms_check-build.csv,target/site/,1,8
spring-petclinic-rest_maven-build-build.csv,target/site/,4,13
github-api_maven-build-test_os_ubuntu_java_11.csv,target/site/,3,16
github-api_codeql-analysis-analyze_language_java.csv,target/test-classes/,7,16
github-api_maven-build-test_os_ubuntu_java_11.csv,target/japicmp/,4,16
github-api_maven-build-site_java_11.csv,target/site/,3,16
github-api_maven-build-test_os_ubuntu_java_17.csv,target/cache/,3,16
github-api_maven-build-test_os_ubuntu_java_17.csv,target/japicmp/,4,16
github-api_maven-build-test_os_ubuntu_java_17.csv,target/site/,3,16
github-api_maven-build-test8_os_ubuntu_java_8.csv,target/cache/,3,16
kafdrop_pull_request-build.csv,target/docker-ready/,5,12
mooc-software-testing_maven-build.csv,target/jacoco-ut/,2,9
mooc-software-testing_maven-build.csv,target/site/,2,9
pipelines-java_codeql-analysis-analyze_language_java.csv,target/test-classes/,5,9
spring-framework-petclinic_maven-build-build.csv,target/site/,2,14
spring-framework-petclinic_maven-build-build.csv,target/.wro4j/,2,14
symphony_ci-build.csv,target/symphony/,3,10
symphony_ci-build.csv,target/test-classes/,4,10
github-api_maven-build-test_os_ubuntu_java_11.csv,target/cache/,3,16
JSqlParser_maven-build_java_11.csv,target/site/,6,20
JSqlParser_maven-build_java_8.csv,target/site/,6,20
